time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2755,548,152,420864,-0.0010045073156814193,1.057596206665039,0.7630377411842346,1641,0.2,1.7015287652611732,0.0,0.00025,-1.423146e-10,2.4658608405540385e-06,-6646.26508182353,74976.23529411765
2760,549,152,421632,-0.02521458809820211,0.7077509164810181,0.7319954633712769,1644,0.2,1.7902320391601987,0.0,0.00025,0.00023634457,7.717815848688285e-05,-6646.26508182353,74976.23529411765
2765,550,152,422400,-0.045165250627178466,1.2729436159133911,0.8182910680770874,1647,0.2,1.6844705285297499,0.11284722222222222,0.00025,0.6462437,0.01658062299247831,-6646.26508182353,74976.23529411765
2773,551,152,423168,-0.00024623296728047234,1.6585396528244019,0.8127027153968811,1650,0.2,1.458464951150947,0.0,0.00025,-3.4296448e-09,4.2100954386923047e-07,-6646.26508182353,74976.23529411765
2777,552,152,423936,-0.0002253052637873528,2.077075481414795,0.821793794631958,1653,0.2,1.1995692137214873,0.0,0.00025,2.4176743e-09,5.243798821336693e-07,-6646.26508182353,74976.23529411765
2782,553,152,424704,-0.00023109364499557868,2.8115956783294678,0.8060720562934875,1656,0.2,1.640826952126291,0.0,0.00025,1.5049159e-09,5.043758493330744e-07,-6646.26508182353,74976.23529411765
2786,554,152,425472,-0.0001985676062759012,2.440803289413452,0.8104138374328613,1659,0.2,1.5405447979768117,0.0,0.00025,2.577865e-09,3.134223839475049e-07,-6646.26508182353,74976.23529411765
2791,555,152,426240,-0.0001965140426263032,1.5827080011367798,0.886074960231781,1662,0.2,1.3275243039760325,0.0,0.00025,3.883296e-09,2.9851475523577796e-07,-6646.26508182353,74976.23529411765
2795,556,152,427008,-0.00019373136577390446,1.4372055530548096,0.8763771653175354,1665,0.2,1.342698613388671,0.0,0.00025,5.341333e-09,1.3830786984827785e-07,-6646.26508182353,74976.23529411765
2799,557,152,427776,-0.00019277080476361638,1.2468513250350952,0.8609822392463684,1668,0.2,1.2861551336116261,0.0,0.00025,5.1843334e-09,1.4730418721834818e-07,-6646.26508182353,74976.23529411765
2804,558,152,428544,-0.00019806670691953818,1.7094249725341797,0.8793750405311584,1671,0.2,1.3922071436213121,0.0,0.00025,4.0733803e-09,1.70018110010359e-07,-6646.26508182353,74976.23529411765
2811,559,152,429312,-0.00019331332077854313,2.1104252338409424,0.8329567909240723,1674,0.2,1.6328803019391165,0.0,0.00025,4.3817803e-09,1.0765183510051833e-07,-6646.26508182353,74976.23529411765
2815,560,152,430080,-0.0001909668988244246,1.8630300760269165,0.8547596335411072,1677,0.2,1.3922698141800032,0.0,0.00025,5.5055143e-09,1.947757684522205e-07,-6646.26508182353,74976.23529411765
2820,561,152,430848,-0.00019679679098771885,3.357400417327881,0.8848220109939575,1680,0.2,1.3518644616835647,0.0,0.00025,4.9111315e-09,3.216425991720623e-07,-6646.26508182353,74976.23529411765
2824,562,152,431616,-0.00018370214962083587,0.3901330828666687,0.8598015308380127,1683,0.2,1.104809505244096,0.0,0.00025,8.103544e-09,3.3422838896512985e-07,-6646.26508182353,74976.23529411765
2829,563,152,432384,-0.00019999946238789966,0.5501835942268372,0.8536260724067688,1686,0.2,1.253435555431578,0.0,0.00025,5.6610716e-09,3.750384267833498e-07,-6646.26508182353,74976.23529411765
2833,564,152,433152,-0.0002104916422669905,0.9807341694831848,0.8582408428192139,1689,0.2,1.1612572963866923,0.0,0.00025,5.293227e-09,2.5112078421645697e-07,-6646.26508182353,74976.23529411765
2838,565,152,433920,-0.00022477811479701713,0.793153703212738,0.8178935050964355,1692,0.2,1.3194462847378519,0.0,0.00025,2.4245939e-09,4.845464395152198e-07,-6646.26508182353,74976.23529411765
2846,566,152,434688,-0.00022028544561989192,0.42175984382629395,0.8579922914505005,1695,0.2,1.0925606675446033,0.0,0.00025,8.168228e-10,5.922306122051345e-07,-6646.26508182353,74976.23529411765
