,x_position,y_position,checkpoints,surfaces,speed
343,3163,1433,3,64,106
344,3157,1429,3,64,130
345,3151,1423,3,64,146
346,3143,1418,3,64,162
347,3135,1411,3,64,178
348,3126,1404,3,64,194
349,3116,1396,3,64,226
350,3104,1387,3,64,222
351,3093,1379,3,64,242
352,3081,1369,3,64,282
353,3066,1357,3,64,330
354,3049,1344,3,64,378
355,3029,1329,3,64,426
356,3008,1312,3,64,420
357,2989,1295,3,64,396
358,2972,1278,3,64,369
359,2958,1261,3,64,341
360,2946,1243,3,64,370
361,2935,1221,3,64,418
362,2925,1196,3,64,462
363,2916,1167,3,64,494
364,2907,1137,3,64,526
365,2898,1105,3,64,558
366,2888,1071,3,64,586
367,2879,1044,4,64,578
368,3712,2288,29,64,0
369,3712,2288,29,64,0
370,3712,2288,29,64,0
371,3712,2288,29,64,0
372,3712,2288,29,64,0
373,3712,2288,29,64,0
374,3712,2288,29,64,0
375,3712,2288,29,64,0
376,3712,2288,29,64,0
377,3712,2288,29,64,0
378,3712,2288,29,64,0
379,3712,2288,29,64,0
380,3712,2288,29,64,0
381,3712,2288,29,64,0
382,3712,2287,29,64,8
383,3712,2287,29,64,16
384,3711,2286,29,64,24
385,3711,2284,29,64,32
386,3711,2282,29,64,40
387,3711,2279,29,64,48
