time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,train/value_loss
124416,818,152,162,0.00025,0.04006655,0.2,0.9088196158409119,13.6640043258667,0.04784079785329393,-21092.4,0.4483506944444444,483,-6.478685299555461,1019.0,24.662237885925506
125184,822,152,163,0.00025,0.05508868,0.2,0.9710947871208191,10.90842342376709,0.0199015144963697,-21092.4,0.3615451388888889,486,-6.809751808643341,1019.0,15.419334921571943
125952,827,152,164,0.00025,0.042768765,0.2,0.8956623077392578,2.794379472732544,0.03993943779884527,-20729.5,0.4244791666666667,489,-6.821464982297686,1019.0,28.207380854421192
126720,832,152,165,0.00025,0.084427714,0.2,0.9816124439239502,7.52047872543335,0.03833172172825369,-20729.5,0.4166666666666667,492,-6.777065045303768,1019.0,11.662164555655586
127488,836,152,166,0.00025,0.033817124,0.2,0.921501100063324,6.830999851226807,0.03208742962063601,-20449.22,0.3706597222222222,495,-6.765705234474606,1019.0,30.427842848830753
128256,843,152,167,0.00025,0.040703204,0.2,0.9822890758514404,5.026878833770752,0.02144310933848222,-20449.22,0.3940972222222222,498,-6.477249258094364,1019.0,10.940520577960545
129024,847,152,168,0.00025,0.14026015,0.2,0.9080420136451721,5.077311038970947,0.091496793863674,-20248.76,0.5477430555555556,501,-6.637263397375743,1019.0,25.81036608086692
129792,852,152,169,0.00025,0.044528026,0.2,0.9822523593902588,1.6786917448043823,0.023643747515355546,-20248.76,0.4283854166666667,504,-6.3617018063863116,1019.0,10.875318070252737
130560,857,152,170,0.00025,0.05259614,0.2,0.8940774202346802,6.804044246673584,0.02600311731091804,-20339.5,0.4817708333333333,507,-6.443648358186086,1019.0,33.39543618427383
131328,861,152,171,0.00025,0.039359976,0.2,0.9769712090492249,1.579973816871643,0.02397613852129628,-20339.5,0.4114583333333333,510,-6.237075487772624,1019.0,12.928430727786488
132096,866,152,172,0.00025,0.05432499,0.2,0.8884381055831909,4.001940727233887,0.08017010039960344,-20531.38,0.4835069444444444,513,-6.480481988853878,1019.0,35.59863871004846
132864,870,152,173,0.00025,0.069461815,0.2,0.9783097505569458,2.756810188293457,0.030674921478041343,-20531.38,0.4184027777777778,516,-6.229124029477437,1019.0,11.83758312629329
133632,875,152,174,0.00025,0.053755734,0.2,0.862963080406189,9.409202575683594,0.05867881441695823,-20792.4,0.4739583333333333,519,-6.432244327333239,1019.0,38.385466734568276
134400,882,152,175,0.00025,0.03963997,0.2,0.9778884053230286,2.4404730796813965,0.017912703786148794,-20792.4,0.30859375,522,-6.263588872220781,1019.0,10.664303559396002
135168,886,152,176,0.00025,0.07414576,0.2,0.8849501609802246,4.902862071990967,0.050265033470673695,-21048.24,0.4943576388888889,525,-6.411790655718909,1019.0,25.576500836345886
135936,891,152,177,0.00025,0.05465478,0.2,0.9767093658447266,2.365940570831299,0.02060758147854358,-21048.24,0.3997395833333333,528,-6.371259179380205,1019.0,7.585016724963983
136704,896,152,178,0.00025,0.05543978,0.2,0.8620506525039673,9.9814453125,0.06993411088155375,-21324.1,0.4622395833333333,531,-6.254397412141164,1019.0,26.420971231328117
137472,901,152,179,0.00025,0.029601062,0.2,0.9784220457077026,2.244251012802124,0.004580918026881086,-21324.1,0.28125,534,-6.323420392142402,1019.0,8.92552959587839
138240,906,152,180,0.00025,0.06164227,0.2,0.908938467502594,7.180209636688232,0.04036234429157856,-21643.88,0.4665798611111111,537,-6.2982652054892645,1019.0,15.037438227070702
139008,913,152,181,0.00025,0.027488986,0.2,0.9661855101585388,3.227994680404663,0.011082692628002001,-21643.88,0.2664930555555556,540,-6.3137333326869545,1019.0,13.00769469804234
139776,918,152,182,0.00025,0.06217307,0.2,0.8829551339149475,4.504695892333984,0.054738390712170966,-21911.68,0.4622395833333333,543,-6.039096660084194,1019.0,14.832475831111273
140544,923,152,183,0.00025,0.027582364,0.2,0.9556065201759338,5.561501502990723,0.004422811778365738,-21911.68,0.3424479166666667,546,-6.275949478149414,1019.0,12.177614463700188
141312,928,152,184,0.00025,0.02938697,0.2,0.8708699941635132,7.297810077667236,0.028596310268363193,-22121.24,0.3602430555555556,549,-6.015625377496083,1019.0,14.357141368918949
142080,932,152,185,0.00025,0.035196982,0.2,0.9318088889122009,4.062251091003418,0.01429106950915108,-22121.24,0.3845486111111111,552,-6.590940806600782,1019.0,10.974367443058226
142848,937,152,186,0.00025,0.050050437,0.2,0.904711902141571,5.122218132019043,0.022779341735359695,-22366.16,0.4192708333333333,555,-5.990817334916857,1019.0,9.859176079432169
143616,941,152,187,0.00025,0.02655931,0.2,0.9652782082557678,3.4112532138824463,0.019112103670421574,-22366.16,0.2994791666666667,558,-6.447031166818407,1019.0,10.741450998518202
144384,949,152,188,0.00025,0.030361662,0.2,0.9200396537780762,1.6136590242385864,0.014173216005373333,-22742.64,0.3854166666666667,561,-5.398801704247792,1019.0,8.946168176001972
145152,953,152,189,0.00025,0.02852414,0.2,0.9708547592163086,2.7272186279296875,0.018193315546442237,-22742.64,0.3263888888888889,564,-6.33888457218806,1019.0,11.034669271773762
145920,958,152,190,0.00025,0.06425622,0.2,0.9002997875213623,1.8526853322982788,0.03251992960253523,-23093.9,0.3914930555555556,567,-5.487898899449243,1019.0,7.569954592320654
146688,963,152,191,0.00025,0.03404078,0.2,0.9800347685813904,3.392454147338867,0.01900247320170618,-23093.9,0.3815104166666667,570,-6.3365724086761475,1019.0,6.684961843821737
147456,967,152,192,0.00025,0.05267216,0.2,0.8918864727020264,4.053720951080322,0.03070349122087161,-23580.82,0.3572048611111111,573,-4.983791159258948,1019.0,7.873053655028343
148224,972,152,193,0.00025,0.020357778,0.2,0.9846897125244141,3.397921323776245,0.011536552312059535,-23580.82,0.2994791666666667,576,-6.276574194431305,1019.0,5.728363932834731
148992,976,152,194,0.00025,0.024703095,0.2,0.8747838735580444,5.313360691070557,0.015395347934423221,-24156.88,0.3224826388888889,579,-4.924598104423946,1019.0,7.502543568611145
149760,983,152,195,0.00025,0.029670143,0.2,0.9722756147384644,0.93679279088974,0.019283712673414912,-24156.88,0.3324652777777778,582,-5.968320065074497,1019.0,5.01405171967215
150528,988,152,196,0.00025,0.036839362,0.2,0.7829407453536987,4.14176082611084,0.02300430031027645,-24759.22,0.3858506944444444,585,-4.346629404359394,1019.0,12.028466320700115
151296,993,152,197,0.00025,0.025197769,0.2,0.9707474708557129,3.476048707962036,0.027076555648818612,-24759.22,0.3216145833333333,588,-6.005816433164808,1019.0,5.329925237430467
152064,997,152,198,0.00025,0.023795335,0.2,0.8294198513031006,5.21687650680542,0.02207569084647629,-25281.0,0.3394097222222222,591,-4.236220965782802,1019.0,10.75671206911405
152832,1002,152,199,0.00025,0.04783343,0.2,0.9488829970359802,3.8526670932769775,0.014339093041295806,-25281.0,0.4088541666666667,594,-5.9269399709171715,1019.0,7.829608082771301
