time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
602112,3506,171,62.32411007,98,1181.57,388,0.2,-6.660293350617091,0.00025,0.06607219,0.5048421223958334,0.9426245093345642,0.007349711343219194,16.71297748883565,5.754541397094727
608256,3545,171,56.42587007,99,1288.58,392,0.2,-6.519627511501312,0.00025,0.039713506,0.47314453125,0.9645317196846008,0.011985565473878523,9.737832054495811,3.913548707962036
614400,3582,171,72.46312011,100,1302.81,396,0.2,-6.285770138104756,0.00025,0.029537037,0.3340657552083333,0.9631674289703369,0.0033002027145509296,8.265530188878378,3.052645683288574
620544,3617,171,74.95874514,101,1270.02,400,0.2,-6.338278243939082,0.00025,0.02968122,0.3534342447916667,0.971631646156311,0.00707464318353838,11.041277860601744,4.386983871459961
626688,3651,171,87.12925010999999,102,1249.62,404,0.2,-6.352258771657944,0.00025,0.02899685,0.3091227213541667,0.9772615432739258,0.000459354575771916,8.173859750231108,3.8703746795654297
632832,3687,171,107.68775011,103,1165.16,408,0.2,-6.347547238071759,0.00025,0.03694723,0.3717854817708333,0.9567683935165405,0.007704046414194939,10.989614203572273,3.8243401050567627
638976,3722,171,117.48014509999999,104,1121.75,412,0.2,-6.323667640487353,0.00025,0.031585574,0.3870035807291667,0.9724881649017334,0.00837344224419212,9.749499157071114,4.70570707321167
645120,3751,171,121.07819006,105,1071.92,416,0.2,-6.324203431606293,0.00025,0.02506393,0.3682861328125,0.9718539714813232,0.008835140863084234,10.552643115321795,3.8828341960906982
651264,3785,172,132.21984502,106,1007.83,420,0.2,-6.37705381711324,0.00025,0.031255778,0.3269856770833333,0.9602652788162231,-0.0030586171997128986,14.789851804574331,5.838799953460693
657408,3813,172,134.96550997,107,904.03,424,0.2,-6.349754557013512,0.00025,0.033089284,0.3477783203125,0.9576449394226074,0.005824128185243656,11.299980089068413,5.014118671417236
663552,3858,171,132.17585496,108,918.43,428,0.2,-6.399332294861476,0.00025,0.026894415,0.3138834635416667,0.9687640070915222,0.003997002723432767,12.301275198658308,4.003037452697754
669696,3894,171,112.99974498000002,109,1046.85,432,0.2,-6.253951360781987,0.00025,0.02757836,0.3318277994791667,0.9656877517700195,0.005274380901634383,10.046824336051941,3.5663506984710693
675840,3925,172,100.33285998,110,1150.34,436,0.2,-6.457582657535871,0.00025,0.030262941,0.4341227213541667,0.9576499462127686,0.0014830959844402969,9.305031145612398,3.3835701942443848
681984,3957,172,93.54844005999998,111,1223.68,440,0.2,-6.301618407169978,0.00025,0.0696586,0.463623046875,0.9673721790313721,0.011167482099457024,8.08032545944055,4.4012908935546875
688128,3988,172,88.53854003000001,112,1299.01,444,0.2,-6.206344187259674,0.00025,0.02527535,0.3309733072916667,0.9748215675354004,0.007279793836156993,8.609468832612038,3.1586742401123047
694272,4020,172,87.99674504000002,113,1284.77,448,0.2,-6.169111460447311,0.00025,0.02883256,0.3088785807291667,0.9655610918998718,0.0037148505386236743,9.491845200459162,3.5646920204162598
700416,4050,172,84.13796497,114,1327.58,452,0.2,-6.135052303473155,0.00025,0.022395724,0.3355305989583333,0.9632331728935242,0.00270380465129468,11.373930563529333,4.546186923980713
706560,4082,173,90.60826007,115,1321.27,456,0.2,-5.983934352795283,0.00025,0.027479568,0.3524169921875,0.9542392492294312,-0.00013936078175902367,9.775153383612633,4.769168853759766
712704,4112,173,99.58868992,116,1251.92,460,0.2,-5.893614167968432,0.00025,0.02761239,0.3866373697916667,0.9534845948219299,0.007317844341741875,9.111198350787163,4.718852996826172
718848,4154,173,97.56860500000002,117,1272.57,464,0.2,-5.827466746171315,0.00025,0.031706486,0.3505452473958333,0.9483361840248108,0.007853321207221597,10.548186908165613,3.3035714626312256
724992,4184,173,92.23894001000001,118,1319.43,468,0.2,-5.857448548078537,0.00025,0.04425089,0.4242757161458333,0.9586396813392639,0.014689611804593975,9.702666386961937,4.716833591461182
731136,4216,173,91.42964511,119,1364.09,472,0.2,-5.9367935955524445,0.00025,0.018621618,0.31787109375,0.9548335671424866,0.002028603349269057,9.74775485197703,3.356323480606079
737280,4245,173,106.70154508000002,120,1303.45,476,0.2,-6.044831981261571,0.00025,0.026915252,0.321533203125,0.9682444930076599,0.0034681272615368166,9.81266450881958,3.7484636306762695
743424,4273,173,108.27061515999999,121,1281.69,480,0.2,-6.058576588829358,0.00025,0.03166609,0.3456624348958333,0.9648265242576599,0.0070610767337105544,8.469340001543364,2.9606878757476807
749568,4305,174,113.05255511,122,1272.39,484,0.2,-6.174402629335721,0.00025,0.03257326,0.3678792317708333,0.9635422229766846,0.00839171935028086,10.804441208640734,4.412018299102783
755712,4338,174,120.95686504,123,1198.81,488,0.2,-6.127643282214801,0.00025,0.044585567,0.3444010416666667,0.9671658873558044,0.008949524810304865,11.034404218196869,3.6807668209075928
